qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
2:272:2,5,0,3,2,0,0,0,3,0,0,3,0,0,0,0,0
2:273:4,2,0,1,4,0,0,0,1,0,2,3,0,0,1,0,0
2:274:4,1,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0
2:275:17,1,0,2,5,0,0,0,3,0,0,3,0,1,4,0,0
2:276:2,1,0,1,7,0,0,0,4,0,0,0,0,0,0,0,1
2:278:2,1,0,0,3,0,0,0,6,0,1,4,0,1,1,0,0
2:280:1,1,0,1,1,0,0,0,2,0,0,8,0,0,0,0,0
2:282:2,1,0,0,2,0,0,0,1,0,1,4,1,2,1,0,0
2:282:32,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0
2:282:62,1,0,2,3,0,0,0,2,0,0,3,0,2,1,0,0
2:282:92,0,0,1,1,0,0,0,4,0,0,6,0,4,1,0,0
2:282:122,1,0,0,4,0,0,0,1,0,1,7,0,0,2,0,0
2:283:23,1,0,1,4,0,0,0,2,0,1,4,0,2,2,0,0
2:284:21,1,0,2,3,0,0,0,1,0,0,5,0,1,5,0,0
2:285:23,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0
2:286:26,2,0,1,4,0,0,0,0,0,0,1,0,1,2,0,0
3:2:2,3,0,0,3,0,0,0,1,0,0,4,0,1,0,0,0
3:4:14,1,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0
3:7:2,1,0,2,1,0,0,0,0,0,0,3,0,2,2,0,0
3:7:32,3,0,0,1,0,0,0,2,0,0,2,0,1,1,0,0
3:9:1,0,0,1,4,0,0,0,2,0,1,3,0,2,0,0,0
3:11:2,0,0,0,2,0,0,0,2,0,0,3,1,0,0,0,0
3:13:9,1,0,2,5,0,0,0,1,0,1,3,0,0,1,0,0
3:14:10,2,0,0,3,0,0,0,1,0,1,4,0,0,1,0,0
3:15:16,1,0,0,6,0,0,0,0,0,0,4,0,3,1,0,0
3:18:5,1,0,3,2,0,0,0,3,0,0,2,0,1,0,0,0
3:19:17,0,0,1,2,0,1,0,4,0,0,3,2,0,0,0,0
3:20:21,0,0,1,5,0,1,0,1,0,1,2,0,0,0,0,0
3:22:7,0,0,0,1,0,0,0,2,0,2,4,0,0,0,0,0
3:24:6,0,0,0,2,0,0,0,1,0,1,4,0,1,0,0,0
3:26:6,1,0,4,2,0,0,0,0,0,0,6,0,0,0,0,0
3:27:11,0,0,2,1,0,0,0,1,0,0,5,0,1,0,0,0
3:28:20,0,0,0,5,0,0,0,1,0,0,4,0,0,1,0,0
3:30:1,1,0,1,2,0,0,0,0,0,0,9,0,1,2,0,0
3:31:5,0,0,0,7,0,0,0,2,0,0,4,0,1,0,0,0
3:33:10,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0
3:36:4,3,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0
3:37:10,2,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0
3:38:5,1,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0
3:39:20,0,0,1,3,0,0,0,0,0,0,3,1,1,0,0,0
3:41:13,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0
3:44:2,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
